Haselhuhn,Hazel Grouse,,,,,,,
Auerhuhn,Western Capercaillie,,,,,,,
Birkhuhn,Black Grouse,,,,,,,
Alpenschneehuhn,Rock Ptarmigan,,,,,,,
Steinhuhn,Rock Partridge,,,,,,,
Rebhuhn,Gray Partridge,,,,,,,
Wachtel,Common Quail,,,,,,,
Jagdfasan,Ring-necked Pheasant,Common Pheasant,,,,,,
Ringelgans,Brant Goose,,,,,,,
Rothalsgans,Red-breasted Goose,,,,,,,
Kanadagans,Canada Goose,,,,,,,
Weißwangengans,Barnacle Goose,,,,,,,
Streifengans,Bar-headed Goose,,,,,,,
Graugans,Graylag Goose,,,,,,,
Kurzschnabelgans,Pink-footed Goose,,,,,,,
Blässgans,Greater White-fronted Goose,,,,,,,
Zwerggans,Lesser White-fronted Goose,,,,,,,
Höckerschwan,Mute Swan,,,,,,,
Zwergschwan,Bewick's Swan,,,,,,,
Singschwan,Whooper Swan,,,,,,,
Nilgans,Egyptian Goose,,,,,,,
Brandgans,Common Shelduck,,,,,,,
Rostgans,Ruddy Shelduck,,,,,,,
Mandarinente,Mandarin Duck,,,,,,,
Knäkente,Garganey,,,,,,,
Blauflügelente,Blue-winged Teal,,,,,,,
Löffelente,Northern Shoveler,,,,,,,
Schnatterente,Gadwall,,,,,,,
Pfeifente,Eurasian Wigeon,,,,,,,
Kanadapfeifente,American Wigeon,,,,,,,
Stockente,Mallard,,,,,,,
Spießente,Northern Pintail,,,,,,,
Krickente,Eurasian Teal,,,,,,,
Carolinakrickente,Green-winged Teal,,,,,,,
Marmelente,Marbled Duck,,,,,,,
Kolbenente,Red-crested Pochard,,,,,,,
Tafelente,Common Pochard,,,,,,,
Moorente,Ferruginous Duck,,,,,,,
Ringschnabelente,Ring-necked Duck,,,,,,,
Reiherente,Tufted Duck,,,,,,,
Bergente,Greater Scaup,,,,,,,
Scheckente,Steller's Eider,,,,,,,
Prachteiderente,King Eider,,,,,,,
Eiderente,Common Eider,,,,,,,
Kragenente,Harlequin Duck,,,,,,,
Brillenente,Surf Scoter,,,,,,,
Samtente,Velvet Scoter,,,,,,,
Trauerente,Common Scoter,,,,,,,
Pazifiktrauerente,Black Scoter,,,,,,,
Eisente,Long-tailed Duck,,,,,,,
Schellente,Common Goldeneye,,,,,,,
Spatelente,Barrow's Goldeneye,,,,,,,
Zwergsäger,Smew,,,,,,,
Gänsesäger,Common Merganser,,,,,,,
Mittelsäger,Red-breasted Merganser,,,,,,,
Schwarzkopf-Ruderente,Ruddy Duck,,,,,,,
Weißkopf-Ruderente,White-headed Duck,,,,,,,
Alpensegler,Alpine Swift,,,,,,,
Mauersegler,Common Swift,,,,,,,
Fahlsegler,Pallid Swift,,,,,,,
Pazifiksegler,Pacific Swifts,,,,,,,
Haussegler,Little Swift,,,,,,,
Großtrappe,Great Bustard,,,,,,,
Steppenkragentrappe,Macqueen's Bustard,,,,,,,
Zwergtrappe,Little Bustard,,,,,,,
Häherkuckuck,Great Spotted Cuckoo,,,,,,,
Schwarzschnabelkuckuck,Black-billed Cuckoo,,,,,,,
Kuckuck,Common Cuckoo,,,,,,,
Steppenflughuhn,Pallas's Sandgrouse,,,,,,,
Straßentaube,Feral Pigeon,,,,,,,
Hohltaube,Stock Dove,,,,,,,
Ringeltaube,Common Wood-Pigeon,Common Wood Pigeon,,,,,,
Turteltaube,European Turtle Dove,,,,,,,
Orientturteltaube,Oriental Turtle Dove,,,,,,,
Türkentaube,Eurasian Collared Dove,,,,,,,
Carolinataube,Mourning Dove,,,,,,,
Wasserralle,Water Rail,,,,,,,
Wachtelkönig,Corn Crake,,,,,,,
Zwergsumpfhuhn,Baillon's Crake,,,,,,,
Tüpfelsumpfhuhn,Spotted Crake,,,,,,,
Purpurhuhn,Purple Swamphen,,,,,,,
Bronzesultanshuhn,Allen's Gallinule,,,,,,,
Teichhuhn,Eurasian Moorhen,Common Moorhen,,,,,,
Blässhuhn,Eurasian Coot,,,,,,,
Kanadakranich,Sandhill Crane,,,,,,,
Jungfernkranich,Demoiselle Crane,,,,,,,
Kranich,Common Crane,,,,,,,
Zwergtaucher,Little Grebe,,,,,,,
Bindentaucher,Pied-billed Grebe,,,,,,,
Rothalstaucher,Red-necked Grebe,,,,,,,
Haubentaucher,Great Crested Grebe,,,,,,,
Ohrentaucher,Horned Grebe,,,,,,,
Schwarzhalstaucher,Black-necked Grebe,,,,,,,
Rosaflamingo,Greater Flamingo,,,,,,,
Triel,Eurasian Stone-curlew,,,,,,,
Austernfischer,Eurasian Oystercatcher,,,,,,,
Stelzenläufer,Black-winged Stilt,,,,,,,
Säbelschnäbler,Pied Avocet,,,,,,,
Kiebitz,Northern Lapwing,,,,,,,
Steppenkiebitz,Sociable Lapwing,,,,,,,
Weißschwanzkiebitz,White-tailed Lapwing,,,,,,,
Goldregenpfeifer,European Golden Plover,,,,,,,
Tundra-Goldregenpfeifer,Pacific Golden Plover,,,,,,,
Prärie-Goldregenpfeifer,American Golden Plover,,,,,,,
Kiebitzregenpfeifer,Gray Plover,,,,,,,
Sandregenpfeifer,Common Ringed Plover,,,,,,,
Flussregenpfeifer,Little Ringed Plover,,,,,,,
Seeregenpfeifer,Kentish Plover,,,,,,,
Wüstenregenpfeifer,Greater Sand Plover,,,,,,,
Mornellregenpfeifer,Eurasian Dotterel,,,,,,,
Regenbrachvogel,Whimbrel,,,,,,,
Pfuhlschnepfe,Bar-tailed Godwit,,,,,,,
Uferschnepfe,Black-tailed Godwit,,,,,,,
Steinwälzer,Ruddy Turnstone,,,,,,,
Knutt,Red Knot,,,,,,,
Kampfläufer,Ruff,,,,,,,
Sumpfläufer,Broad-billed Sandpiper,,,,,,,
Spitzschwanz-Strandläufer,Sharp-tailed Sandpiper,,,,,,,
Bindenstrandläufer,Stilt Sandpiper,,,,,,,
Sichelstrandläufer,Curlew Sandpiper,,,,,,,
Temminckstrandläufer,Temminck's Stint,,,,,,,
Langzehen-Strandläufer,Long-toed Stint,,,,,,,
Rotkehl-Strandläufer,Red-necked Stint,,,,,,,
Sanderling,Sanderling,,,,,,,
Alpenstrandläufer,Dunlin,,,,,,,
Meerstrandläufer,Purple Sandpiper,,,,,,,
Bairdstrandläufer,Baird's Sandpiper,,,,,,,
Zwergstrandläufer,Little Stint,,,,,,,
Wiesenstrandläufer,Least Sandpiper,,,,,,,
Weißbürzel-Strandläufer,White-rumped Sandpiper,,,,,,,
Grasläufer,Buff-breasted Sandpiper,,,,,,,
Graubrust-Strandläufer,Pectoral Sandpiper,,,,,,,
Sandstrandläufer,Semipalmated Sandpiper,,,,,,,
Waldschnepfe,Eurasian Woodcock,,,,,,,
